crime_type,day_of_week,time_of_day,crime_frequency
Burglary/Breaking And Entering,Monday,afternoon,0.04612479769825571
Burglary/Breaking And Entering,Monday,evening,0.03578493076784751
Burglary/Breaking And Entering,Tuesday,early_morning,0.019151231792843015
Burglary/Breaking And Entering,Tuesday,late_morning,0.04252832224420068
Burglary/Breaking And Entering,Tuesday,afternoon,0.042887969789606184
Burglary/Breaking And Entering,Tuesday,evening,0.03857219924474015
Burglary/Breaking And Entering,Wednesday,early_morning,0.01969070311095127
Burglary/Breaking And Entering,Wednesday,late_morning,0.041898939039741054
Burglary/Breaking And Entering,Wednesday,afternoon,0.04882215428879698
Burglary/Breaking And Entering,Wednesday,evening,0.03416651681352275
Burglary/Breaking And Entering,Thursday,early_morning,0.017892465383923754
Burglary/Breaking And Entering,Thursday,late_morning,0.039021758676497036
Burglary/Breaking And Entering,Thursday,afternoon,0.047203740334472215
Burglary/Breaking And Entering,Thursday,evening,0.0417191152670383
Burglary/Breaking And Entering,Friday,early_morning,0.022837619133249415
Burglary/Breaking And Entering,Friday,late_morning,0.039830965653659414
Burglary/Breaking And Entering,Friday,afternoon,0.05295810106096026
Burglary/Breaking And Entering,Friday,evening,0.04162920338068693
Burglary/Breaking And Entering,Saturday,early_morning,0.025265240064736558
Burglary/Breaking And Entering,Saturday,late_morning,0.02751303722352095
Burglary/Breaking And Entering,Saturday,afternoon,0.04666426901636396
Burglary/Breaking And Entering,Saturday,evening,0.035695018881496135
Burglary/Breaking And Entering,Sunday,early_morning,0.02337709045135767
Burglary/Breaking And Entering,Sunday,late_morning,0.0276928609962237
Burglary/Breaking And Entering,Sunday,afternoon,0.03812263981298328
Burglary/Breaking And Entering,Sunday,evening,0.03299766229095486
Simple Assault,Monday,early_morning,0.01881625441696113
Simple Assault,Monday,late_morning,0.02239399293286219
Simple Assault,Monday,afternoon,0.0458922261484099
Simple Assault,Monday,evening,0.0480565371024735
Simple Assault,Tuesday,early_morning,0.0196113074204947
Simple Assault,Tuesday,late_morning,0.023586572438162545
Simple Assault,Tuesday,afternoon,0.04213780918727915
Simple Assault,Tuesday,evening,0.04840989399293286
Simple Assault,Wednesday,early_morning,0.020141342756183747
Simple Assault,Wednesday,late_morning,0.02314487632508834
Simple Assault,Wednesday,afternoon,0.04271201413427562
Simple Assault,Wednesday,evening,0.047791519434628976
Simple Assault,Thursday,early_morning,0.018639575971731447
Simple Assault,Thursday,late_morning,0.02128975265017668
