year,theater,aircraft,abs_mission_count,relative_mission_count_theater_year,relative_mission_count_aircraft_year
1942,ETO,MANC,3,0.0008424599831508003,0.01948051948051948
1942,MTO,MARY,1,0.0013986013986013986,0.14285714285714285
1941,MTO,MARY,6,0.014527845036319613,0.8571428571428571
1943,MTO,MED,3,0.0003014166582939817,0.06382978723404255
1942,ETO,MED,1594,0.4476270710474586,0.6841201716738198
1941,ETO,MED,377,0.03926674304759921,0.16180257510729615
1943,ETO,MED,359,0.048272152749764694,0.15407725321888413
1943,CBI,MED,1,0.0006435006435006435,1.0
1942,MTO,MED,44,0.06153846153846154,0.9361702127659575
1942,CBI,MOHAWK,9,0.020224719101123594,0.6428571428571429
1943,CBI,MOHAWK,5,0.0032175032175032173,0.35714285714285715
1943,MTO,OB17,5,0.0005023610971566361,0.028901734104046242
1945,ETO,OB17,62,0.002882380288238029,0.20394736842105263
1944,MTO,OB17,142,0.013735732249951635,0.8208092485549133
1945,MTO,OB17,26,0.0029322205932107814,0.15028901734104047
1943,ETO,OB17,16,0.002151405136479763,0.05263157894736842
1944,ETO,OB17,226,0.0047932131495228,0.743421052631579
1943,MTO,OB24,2,0.0002009444388626545,0.004750593824228029
1945,ETO,OB24,104,0.004834960483496048,0.16910569105691056
1944,ETO,OB24,503,0.010668080593849417,0.8178861788617886
1943,ETO,OB24,8,0.0010757025682398816,0.013008130081300813
1944,MTO,OB24,310,0.029986457728767655,0.7363420427553444
1945,MTO,OB24,109,0.012292770948460584,0.2589073634204275
1942,PTO,P38,2,0.0016863406408094434,0.0007567158531971245
1945,CBI,P38,218,0.057519788918205805,0.6089385474860335
1944,CBI,P38,130,0.019765850691804775,0.36312849162011174
1943,CBI,P38,10,0.006435006435006435,0.027932960893854747
1944,PTO,P38,623,0.04020651823168764,0.2357169882709043
1945,PTO,P38,1981,0.1265410412008943,0.7495270525917518
1943,PTO,P38,37,0.009650495565988524,0.013999243284146803
1943,CBI,P39,1,0.0006435006435006435,0.3333333333333333
1942,PTO,P39,1,0.0008431703204047217,0.0011235955056179776
1945,PTO,P39,2,0.00012775471095496647,0.0022471910112359553
1943,PTO,P39,29,0.007563901930099113,0.03258426966292135
1944,PTO,P39,858,0.05537270087124879,0.9640449438202248
1944,CBI,P39,2,0.0003040900106431504,0.6666666666666666
1945,CBI,P40,110,0.029023746701846966,0.04943820224719101
1942,PTO,P40,14,0.011804384485666104,0.021021021021021023
1943,PTO,P40,46,0.011997913406364111,0.06906906906906907
1945,PTO,P40,41,0.0026189715745768127,0.06156156156156156
1944,PTO,P40,565,0.03646337528234914,0.8483483483483484
1944,CBI,P40,1825,0.2774821347118747,0.8202247191011236
1943,CBI,P40,279,0.17953667953667954,0.1253932584269663
1942,CBI,P40,11,0.024719101123595506,0.004943820224719101
1942,PTO,P400,17,0.01433389544688027,1.0
1944,PTO,P401,1,6.453694740238787e-05,1.0
1944,CBI,P45,1,0.0001520450053215752,1.0
1943,CBI,P47,2,0.001287001287001287,0.0008539709649871904
1944,PTO,P47,1445,0.09325588899645047,0.6233822260569456
1945,PTO,P47,811,0.0518045352922389,0.34987057808455563
1943,PTO,P47,62,0.01617110067814293,0.026747195858498704
1945,CBI,P47,1348,0.35567282321899735,0.5755764304013663
1944,CBI,P47,992,0.15082864527900258,0.42356959863364646
1944,CBI,P51,1059,0.16101566063554812,0.5774263904034896
1945,PTO,P51,1746,0.11152986266368572,0.975964225824483
1944,PTO,P51,43,0.0027750887383026783,0.024035774175517048
1943,CBI,P51,38,0.02445302445302445,0.020719738276990186
1945,CBI,P51,737,0.19445910290237467,0.40185387131952016
1944,CBI,P61,2,0.0003040900106431504,0.05263157894736842
1945,CBI,P61,36,0.00949868073878628,0.9473684210526315
1945,PTO,P61,136,0.008687320344937719,1.0
1944,PTO,P70,46,0.002968699580509842,0.7666666666666667
1943,PTO,P70,14,0.0036515388628064684,0.23333333333333334
1944,PTO,PV-1 VENTURA,27,0.0017424975798644724,0.30337078651685395
1945,PTO,PV-1 VENTURA,53,0.0033854998403066113,0.5955056179775281
1943,PTO,PV-1 VENTURA,9,0.002347417840375587,0.10112359550561797
1943,MTO,SB17,249,0.025017582638400482,1.0
1945,ETO,SB17,5,0.00023245002324500232,0.008445945945945946
1943,ETO,SB17,587,0.07892967594460132,0.9915540540540541
1944,ETO,SB24,7,0.00014846235418875927,0.10144927536231885
1943,ETO,SB24,60,0.008067769261799113,0.8695652173913043
1945,ETO,SB24,2,9.298000929800093e-05,0.028985507246376812
1942,MTO,SB24,23,0.032167832167832165,0.06284153005464481
1943,MTO,SB24,343,0.03446197126494524,0.9371584699453552
1944,PTO,SBD,2,0.00012907389480477574,1.0
1944,PTO,SBD DAUNTLESS,16,0.001032591158438206,1.0
1940,ETO,STIR,24,0.003677033859353455,0.06015037593984962
1944,ETO,STIR,1,2.1208907741251324e-05,0.002506265664160401
1941,MTO,STIR,5,0.012106537530266344,1.0
1942,ETO,STIR,6,0.0016849199663016006,0.015037593984962405
1941,ETO,STIR,368,0.038329340693677744,0.9223057644110275
1941,ETO,SWORD,7,0.0007290907197166961,1.0
1941,MTO,SWORD,2,0.004842615012106538,0.18181818181818182
1940,MTO,SWORD,4,0.02127659574468085,0.36363636363636365
1942,MTO,SWORD,5,0.006993006993006993,0.45454545454545453
1944,PTO,TBF,12,0.0007744433688286545,1.0
1944,PTO,TBF AVENGER,35,0.002258793159083575,1.0
1942,CBI,TOM,1,0.0022471910112359553,1.0
1942,CBI,VENGEANCE (A31),2,0.0044943820224719105,0.01694915254237288
1944,CBI,VENGEANCE (A31),72,0.010947240383153414,0.6101694915254238
1943,CBI,VENGEANCE (A31),44,0.028314028314028315,0.3728813559322034
1944,CBI,WELL,223,0.033906036186711265,0.828996282527881
1942,CBI,WELL,22,0.04943820224719101,0.08178438661710037
1941,MTO,WELL,226,0.5472154963680388,0.5525672371638142
1940,MTO,WELL,54,0.2872340425531915,0.13202933985330073
1943,MTO,WELL,5,0.0005023610971566361,0.012224938875305624
1943,CBI,WELL,24,0.015444015444015444,0.08921933085501858
1942,ETO,WELL,45,0.012636899747262006,0.007978723404255319
1941,ETO,WELL,3709,0.3863139256327466,0.6576241134751774
1942,MTO,WELL,124,0.17342657342657342,0.30317848410757947
1943,ETO,WELL,5,0.000672314105149926,0.0008865248226950354
1944,ETO,WELL,7,0.00014846235418875927,0.0012411347517730497
1939,ETO,WELL,6,0.14634146341463414,0.0010638297872340426
1940,ETO,WELL,1868,0.2861958020530106,0.3312056737588652
1940,ETO,WHIT,1375,0.210663398192125,0.4407051282051282
1939,ETO,WHIT,32,0.7804878048780488,0.010256410256410256
1944,ETO,WHIT,2,4.241781548250265e-05,0.000641025641025641
1943,ETO,WHIT,2,0.0002689256420599704,0.000641025641025641
1940,MTO,WHIT,85,0.4521276595744681,1.0
1942,ETO,WHIT,5,0.0014040999719180005,0.0016025641025641025
1941,ETO,WHIT,1704,0.17748151234246431,0.5461538461538461
1942,PTO,WIRRAWAY,2,0.0016863406408094434,1.0
